,Activity Type,Date,Title,Distance,Calories,Time taken,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Time,Temp,Shoes
1088,Cardio,2021-06-14 0:00:00,Isla Verde - Running,13.24,185.165,89.012,155.66,175.479,189.494,148.22,6.723,6.444,847.646,6.445,0.772,0.889,13.14,2021-06-14 19:38:00,3.07,Brooks Launch 9/GTS 9
1089,Treadmill Running,2022-03-26 0:00:00,Fairfax County Running,13.731,87.972,91.724,64.373,176.654,124.043,245.662,6.68,5.858,852.239,646.049,1.767,7.631,13.579,2022-03-26 18:35:00,18.08,Altra Paradigm 6
1090,Cardio,2022-04-25 0:00:00,New Castle Running,12.529,701.571,87.243,125.826,171.514,172.866,243.007,6.963,6.126,64.977,679.244,1.801,0.39,12.594,2022-04-25 5:49:00,19.87,Brooks Launch 9/GTS 9
1091,Cardio,2021-09-12 0:00:00,Isla Verde - Running,13.449,37.898,89.557,176.128,176.617,161.113,211.767,6.659,5.996,280.625,50.03,0.074,2.788,13.301,2021-09-12 21:51:00,16.41,Nike Alphafly Next% 2
1092,Treadmill Running,2021-02-28 0:00:00,Boca Raton - Running,17.326,577.123,118.46,171.63,178.015,195.361,141.009,6.837,6.499,158.079,216.308,0.72,0.74,17.075,2021-02-28 7:49:00,27.73,Brooks Ghost 14
1093,Treadmill Running,2021-11-23 0:00:00,Baltimore - Running,12.517,863.586,88.089,66.689,170.522,119.424,126.435,7.038,6.202,333.74,438.592,1.359,0.795,12.62,2021-11-23 4:42:00,14.51,Altra Paradigm 6
1094,Cardio,2023-01-18 0:00:00,Manheim Running,16.923,183.706,113.521,78.551,179.904,169.629,183.858,6.708,6.288,827.701,786.818,0.892,7.559,16.603,2023-01-18 15:53:00,27,Nike Pegasus 40
1095,Treadmill Running,2022-03-12 0:00:00,New York Running,10.419,323.81,71.03,61.124,171.262,165.287,124.391,6.817,6.335,461.113,24.395,1.252,5.784,10.52,2022-03-12 19:57:00,14.27,Craft Pro Endur Distance
1096,Running,2023-08-06 0:00:00,Lancaster Running,1.234,22.401,8.156,149.52,162.066,153.287,139.359,6.61,5.843,211.287,942.296,0.014,0.314,1.81,2023-08-06 8:48:00,2.75,Brooks Ghost 15
1097,Cardio,2022-03-17 0:00:00,Baltimore - Running,1.256,75.42,8.607,153.425,161.773,190.312,218.623,6.853,6.263,212.653,500.068,1.237,1.306,1.844,2022-03-17 9:01:00,23.19,Craft Pro Endur Distance
